Bad Elster,8011072,7,Bad Elster
Bad Ems,8000701,5,Bad Ems
Bad Ems West,8000702,6,Bad Ems
Bad Endorf (Oberbay),8001787,4,Bad Endorf 
Bad Fallingbostel,8001958,5,Fallingbostel
Bad Freienwalde (Oder),8010017,7,Bad Freienwalde
Bad Friedrichshall Hbf,8000017,3,Bad Friedrichshall
Bad Friedrichshall-Kochendorf,8000704,6,Bad Friedrichshall
Bad Gandersheim,8000352,6,Bad Gandersheim
Bad Griesbach,8000707,6,Bad Griesbach
Bad Grönenbach,8002378,6,Bad Grönenbach
Bad Harzburg,8000019,3,Bad Harzburg
Bad Hersfeld,8000020,3,Bad Hersfeld
Bad Holzhausen,8002978,6,Preußisch Oldendorf
Bad Homburg,8000712,3,Bad Homburg
Bad Honnef (Rhein),8000713,5,Bad Honnef
Bad Hönningen,8000711,4,Bad Hönningen
Bad Karlshafen,8003182,7,Bad Karlshafen
Bad Kissingen,8000714,5,Bad Kissingen
Bad Kleinen,8010018,4,Bad Kleinen
Bad Kohlgrub,8000716,7,Bad Kohlgrub
Bad Kohlgrub Kurhaus,8000717,7,Bad Kohlgrub
Bad König,8000715,6,Bad König
Bad König-Zell,8006643,7,Bad König
Bad Kösen,8010019,5,Bad Kösen
Bad Köstritz,8011074,6,Bad Köstritz
Bad Kötzting,8003393,6,Kötzting
Bad Kreuznach,8000021,3,Bad Kreuznach
Bad Krozingen,8000718,4,Bad Krozingen
Bad Langensalza,8010020,4,Bad Langensalza
Bad Lausick,8011077,5,Bad Lausick
Bad Lauterberg im Harz Barbis,8005324,7,Bad Lauterberg- Barbis
Bad Liebenwerda,8011078,7,Bad Liebenwerda
Bad Liebenzell,8000721,6,Bad Liebenzell
Bad Malente Gremsmühlen,8003829,5,Bad Malente-Gremsmühlen
Bad Malente-Gremsmühlen,8003829,5,Bad Malente-Gremsmühlen
Bad Münder (Deister),8000725,5,Bad Münder am Deister
Bad Münster am Stein,8000726,4,Bad Münster am Stein
Bad Münstereifel,8000727,6,Bad Münstereifel
Bad Münstereifel Arloff,8000601,6,Bad-Münstereifel
Bad Münstereifel-Iversheim,8003104,6,Bad Münstereifel
Bad Nauheim,8000728,4,Bad Nauheim
Bad Nenndorf,8000022,5,Bad Nenndorf
Bad Neuenahr,8000729,5,Bad Neuenahr
Bad Neustadt (Saale),8000730,6,Bad Neustadt (Saale)
Bad Niedernau,8000731,6,Rottenburg 
Bad Oeynhausen,8000732,3,Bad Oeynhausen
Bad Oeynhausen Süd,8000733,6,Bad Oeynhausen
Bad Oldesloe,8000023,2,Bad Oldesloe
Bad Peterstal,8000734,6,Bad Peterstal
Bad Pyrmont,8000735,5,Bad Pyrmont
Bad Rappenau,8000736,4,Bad Rappenau
Bad Rappenau Kurpark,8000777,6,Bad Rappenau
Bad Reichenhall,8000737,5,Bad Reichenhall
Bad Reichenhall-Kirchberg,8000738,6,Bad Reichenhall
Bad Rodach (b Coburg),8005112,6,Rodach (b Coburg)
Bad Saarow-Pieskow,8011079,7,Bad Saarow-Pieskow
Bad Sachsa,8000739,6,Bad Sachsa
Bad Säckingen,8005255,5,Bad Säckingen
Bad Salzdetfurth,8000740,7,Bad Salzdetfurth
Bad Salzdetfurth-Solebad,8000759,7,Bad Salzdetfurth-Detfurth
Bad Salzhausen,8000741,6,Nidda
Bad Salzschlirf,8000743,6,Bad Salzschlirf
Bad Salzuflen,8000744,6,Bad Salzuflen
Bad Salzungen,8010021,5,Bad Salzungen
Bad Sassendorf,8000745,6,Bad Sassendorf
Bad Saulgau,8005301,6,Bad Saulgau
Bad Schandau,8010022,3,Bad Schandau
Bad Schönborn Kronau,8004032,6,Bad Schönborn
Bad Schönborn Süd,8003533,4,Bad Schönborn
Bad Schussenried,8000746,5,Bad Schussenried
Bad Schwartau,8000749,5,Bad Schwartau
Bad Sebastiansweiler-Belsen,8000750,6,Mössingen
Bad Segeberg,8000751,6,Bad Segeberg
Bad Sobernheim,8005583,5,Bad Sobernheim
Bad Soden (Taunus),8000752,5,Bad Soden (Taunus)
Bad Soden-Salmünster,8005261,5,Bad Soden-Salmünster
Bad Sooden-Allendorf,8000753,6,Bad Soden-Allendorf
Bad St Peter Süd,8000754,7,Sankt Peter-Ording
Bad St Peter-Ording,8000755,6,Sankt Peter-Ording
Bad Staffelstein,8005670,5,Bad Staffelstein
Bad Steben,8000756,7,Bad Steben
Bad Sulza,8011085,6,Bad Sulza
Bad Sulza Nord,8011086,7,Bad Sulza
Bad Teinach,8000757,7,Calw
Bad Teinach-Neubulach,8000757,7,Calw
Bad Tölz,8000758,6,Bad Tölz
Bad Vilbel,8000760,3,Bad Vilbel
Bad Vilbel Süd,8000761,5,Bad Vilbel
Bad Vilbel-Gronau,8002382,6,Bad Vilbel
Bad Waldsee,8000763,6,Bad Waldsee
Bad Wilsnack,8011088,6,Bad Wilsnack
Bad Wimpfen,8000765,6,Bad Wimpfen
Bad Wimpfen im Tal,8000706,6,Bad Wimpfen
Bad Wimpfen-Hohenstadt,8000766,6,Bad Wimpfen
Bad Windsheim,8000767,6,Bad Windsheim
Bad Wörishofen,8000768,6,Bad Wörishofen
Bad Zwischenahn,8000770,5,Bad Zwischenahn
Baddeckenstedt,8000772,6,Baddeckenstedt
Baden (Kr Verden),8000773,5,Achim
Baden-Baden,8000774,3,Baden-Baden
Baden-Baden Haueneberstein,8000771,6,Baden-Baden
Baden-Baden Rebland,8000775,6,Baden-Baden
Bagenz,8011097,6,Neuhausen/Spree
Bahnsdorf,8011098,6,Neu-Seeland
Bahrenfeld (S-Bahn),8000780,4,Hamburg
