Dortmund-Dorstfeld Süd,8004230,4
Dortmund-Hörde,8000961,4
Dortmund-Kley,8004269,4
Dortmund-Oespel,8004288,4
Dortmund-Universität,8004419,4
Dortmund-Westfalenhalle,8001522,4
Dreieich-Buchschlag,8001236,4
Dresden Hbf,8010085,1
Dresden Mitte,8013444,4
Dresden-Klotzsche,8010088,4
Dresden-Neustadt,8010089,2
Duisburg Hbf,8000086,1
Duisburg-Buchholz,8001600,4
Duisburg-Großenbaum,8001602,4
Duisburg-Meiderich Süd,8000367,4
Dülmen,8000083,4
Dülmen,8000083,4
Düren,8000084,3
Düren,8000084,3
Düsseldorf Flughafen,8000082,2
Düsseldorf Flughafen,8000082,2
Düsseldorf Flughafen,8000082,2
Düsseldorf Flughafen,8000082,2
Düsseldorf Hbf,8000085,1
Düsseldorf Wehrhahn,8001582,4
Düsseldorf Zoo,8001583,4
Düsseldorf-Benrath,8001584,3
Düsseldorf-Bilk,8001585,4
Düsseldorf-Bilk,8001585,4
Düsseldorf-Derendorf,8001586,4
Düsseldorf-Reisholz,8001594,4
Düsseldorf-Reisholz,8001594,4
Düsseldorf-Unterrath,8001595,4
Eberbach,8000369,3
Ebersbach (Fils),8001632,4
Ebersberg (Oberbay),8001634,4
Eberswalde Hbf,8010093,3
Echterdingen,8001650,4
Efringen-Kirchen,8001671,4
Eglharting,8001682,4
Ehingen (Donau),8001684,4
Ehningen (b Böblingen),8001689,4
Eichenberg,8000090,4
Eichstätt Bahnhof,8001708,4
Eidelstedt (S-Bahn),8002555,3
Eidelstedt (S-Bahn),8002555,3
Eilenburg,8010095,4
Eisenach,8010097,3
Eisenach,8010097,3
Eislingen (Fils),8001731,4
Elbgaustraße (S-Bahn),8001739,4
Elbgaustraße (S-Bahn),8001739,4
Elmshorn,8000092,3
Elmshorn,8000092,3
Elsterwerda,8010099,4
Elze (Han),8000093,4
Emden Hbf,8001768,3
Emmendingen,8001771,4
Emmerich,8001773,4
Emsdetten,8001782,4
Endersbach,8001785,4
Engen,8001790,4
Erbach (Württ),8001820,4
Erftstadt,8003671,4
Erftstadt,8003671,4
Erfurt Hbf,8010101,2
Erkelenz,8001839,4
Erkner,8013477,3
Erlangen,8001844,3
Erzhausen,8001864,4
Erzingen (Baden),8001865,4
Eschhofen,8001883,4
Eschweiler Hbf,8001886,4
Essen Hbf,8000098,1
Essen Stadtwald,8001896,4
Essen West,8001898,4
Essen-Frohnhausen,8001906,4
Essen-Steele,8000099,4
Essen-Steele Ost,8001913,4
Esslingen (Neckar),8001920,3
Esslingen-Mettingen,8001921,3
Esslingen-Zell,8006642,4
Esting,8001996,4
Etelsen,8001924,4
Euskirchen,8000100,3
Eutingen im Gäu,8000101,4
Evershagen,8011523,4
Falkenberg (Elster),8010103,3
Falkenberg (Elster),8010103,3
Fellbach,8001974,3
Feucht,8001978,3
Finnentrop,8000102,4
Flensburg,8000103,3
Flöha,8010108,4
Flörsheim (Main),8002013,4
Flughafen Köln/Bonn,8003330,3
Flughafen Leipzig/Halle,8012183,3
Flughafen München,8004168,4
Flughafen München Besucherpark,8004167,4
Forchheim (Oberfr),8002024,4
Frankenthal Hbf,8000332,4
Frankenthal-Süd,8002025,4
Frankfurt (Main) Flughafen Regionalbahnhof,8070004,3
Frankfurt (Main) Galluswarte,8006690,4
Frankfurt (Main) Hauptwache,8006692,3
Frankfurt (Main) Hbf,8000105,1
Frankfurt (Main) Hbf,8000105,1
Frankfurt (Main) Konstablerwache,8004429,3
Frankfurt (Main) Lokalbahnhof,8002038,4
Frankfurt (Main) Mühlberg,8002034,4
Frankfurt (Main) Niederrad,8002050,3
Frankfurt (Main) Ostendstraße,8002058,3
Frankfurt (Main) Sportfeld,8002040,3
Frankfurt (Main) Stresemannallee,8002059,4
Frankfurt (Main) Süd,8002041,2
Frankfurt (Main) Taunusanlage,8006691,3
Frankfurt (Main) West,8002042,3
Frankfurt (Main) West,8002042,3
Frankfurt (Oder),8010113,3
Frankfurt (Oder),8010113,3
Frankfurt am Main Flughafen Fernbahnhof,8070003,3
Frankfurt am Main Messe,8079632,4
Frankfurt am Main Stadion,8002040,3
Frankfurt-Frankfurter Berg,8002044,4
Frankfurt-Griesheim,8002046,4
Frankfurt-Höchst,8000106,3
Frankfurt-Louisa,8002047,4
Frankfurt-Rödelheim,8002052,3
Freiberg (Sachs),8010115,4
Freiburg (Breisgau) Hbf,8000107,2
Freilassing,8000108,3
Freinsheim,8000374,4
Freising,8002078,3
Freital-Deuben,8011569,4
Friedberg (Hess),8000111,3
Friedenau,8089058,4
Friedrichsberg (S-Bahn),8002106,4
Friedrichsdorf (Taunus),8002108,4
Friedrichsfelde Ost,8089059,4
Friedrichshafen Stadt,8000112,3
Fröndenberg,8000113,4
Fulda,8000115,2
Fürstenfeldbruck,8002141,4
Fürstenwalde (Spree),8010120,4
Fürth (Bay) Hbf,8000114,2
Garmisch-Partenkirchen,8002187,3
Gau Algesheim,8000375,4
Gauting,8002198,4
Geislingen (Steige),8002218,4
Geithain,8010122,4
Gelnhausen,8000117,4
Gelsenkirchen Hbf,8000118,2
Gelsenkirchen Hbf,8000118,2
Geltendorf,8000119,3
Gemünden (Main),8000120,4
Gengenbach,8002235,4
Genthin,8010123,4
Georgensgmünd,8002237,4
Gera Hbf,8010125,3
Germering-Unterpfaffenhofen,8006006,4
Gernlinden,8002247,4
Gerolstein,8000123,4
Gießen,8000124,2
Gifhorn,8000185,4
Gladbeck West,8000125,4
Glauchau (Sachs),8010129,3
Göppingen,8000127,3
Görlitz,8010131,3
Goslar,8000130,4
Gößnitz,8010134,4
Gotha,8010136,3
Göttingen,8000128,2
Graben-Neudorf,8000131,3
Gräfelfing,8002339,4
Grafing Bahnhof,8002347,3
Greifswald,8010139,4
Greifswalder Straße,8089011,4
Greifswalder Straße,8089011,4
Greven,8002369,3
Grevenbroich,8000133,4
Griebnitzsee,8011695,4
Gröbenzell,8002377,4
Gronsdorf,8002383,4
Groß Gerau-Dornberg,8002386,3
Groß Karben,8002388,4
Großkorbetha,8010146,4
Gruiten,8000138,4
Gruiten,8000138,4
Grunbach,8002448,4
Grünstadt,8000137,4
Günzburg,8000139,3
Gunzenhausen,8000385,4
Güstrow,8010153,3
Gütersloh Hbf,8002461,3
Haar,8002491,4
Hackescher Markt,8089017,4
Hagen Hbf,8000142,2
Halberstadt,8010157,3
Halle (Saale) Hbf,8010159,2
Halle-Neustadt,8010160,4
Halstenbek (S-Bahn),8002545,4
Haltern (Westf),8000145,4
Haltern am See,8000145,4
Hamburg Airport (Flughafen),8002547,4
Hamburg Dammtor,8002548,2
Hamburg Dammtor,8002548,2
Hamburg Hbf,8002549,1
Hamburg Hbf,8002549,1
Hamburg-Altona,8002553,1
Hamburg-Altona,8002553,1
Hamburg-Bergedorf,8002554,3
Hamburg-Bergedorf,8002554,3
Hamburg-Harburg,8000147,2
Hamburg-Harburg,8000147,2
Hamburg-Neugraben,8002557,3
Hamburg-Neugraben,8002557,3
Hamburg-Rahlstedt,8002558,4
Hamburg-Tonndorf,8006197,4
Hamburg-Wandsbek,8002560,4
Hameln,8000148,3
Hamm (Westf),8000149,2
Hammerbrook (S-Bahn),8004266,4
Hanau Hbf,8000150,2
Hanau Hbf,8000150,2
Hanau Hbf,8000150,2
Hannover–Ledeburg,8079097,4
Hannover–Ledeburg,8079097,4
Hannover–Vinnhorst,8006089,4
Hannover Bismarckstraße,8002580,4
Hannover Hbf,8000152,1
Hannover Karl-Wiechert-Allee,8070086,4
Hannover-Flughafen,8002589,4
