Berlin-Zehlendorf,4,Berlin,"{'type': 'Point', 'coordinates': [13.258659, 52.431067]}"
Berliner Tor (S-Bahn),3,Hamburg,"{'type': 'Point', 'coordinates': [10.02463, 53.55287]}"
Berliner Tor (S-Bahn),3,Hamburg,"{'type': 'Point', 'coordinates': [10.02463, 53.55287]}"
Berliner Tor (S-Bahn),3,Hamburg,"{'type': 'Point', 'coordinates': [10.02463, 53.55287]}"
Bernau (b Berlin),3,Bernau bei Berlin,"{'type': 'Point', 'coordinates': [13.5926414, 52.6755689]}"
Bernburg,4,Bernburg,"{'type': 'Point', 'coordinates': [11.751455, 51.79612]}"
Betriebsbahnhof Berlin-Rummelsburg,4,Berlin,"{'type': 'Point', 'coordinates': [13.497786, 52.493827]}"
Betriebsbahnhof Berlin-Schöneweide,4,Berlin,"{'type': 'Point', 'coordinates': [13.52368, 52.446905]}"
Betzdorf (Sieg),3,Betzdorf ,"{'type': 'Point', 'coordinates': [7.87005, 50.789294]}"
Beusselstraße,4,Berlin,"{'type': 'Point', 'coordinates': [13.329042, 52.534354]}"
Biberach (Riß),4,Biberach (Riß),"{'type': 'Point', 'coordinates': [9.793127, 48.101845]}"
Biblis,4,Biblis,"{'type': 'Point', 'coordinates': [8.450413, 49.688881]}"
Bielefeld Hbf,2,Bielefeld,"{'type': 'Point', 'coordinates': [8.532722, 52.029261]}"
Bielefeld Hbf,2,Bielefeld,"{'type': 'Point', 'coordinates': [8.532722, 52.029261]}"
Biesdorf,4,Berlin,"{'type': 'Point', 'coordinates': [13.555878, 52.513097]}"
Bietigheim-Bissingen,2,Bietigheim-Bissingen,"{'type': 'Point', 'coordinates': [9.137557, 48.947933]}"
Bingen (Rhein) Hbf,4,Bingen ,"{'type': 'Point', 'coordinates': [7.884263, 49.968729]}"
Bingen (Rhein) Stadt,4,Bingen ,"{'type': 'Point', 'coordinates': [7.902985, 49.969746]}"
Birkenwerder (b Berlin),4,Birkenwerder,"{'type': 'Point', 'coordinates': [13.288772, 52.688249]}"
Bitterfeld,3,Bitterfeld-Wolfen,"{'type': 'Point', 'coordinates': [12.31685, 51.622861]}"
Blankenese (S-Bahn),3,Hamburg,"{'type': 'Point', 'coordinates': [9.814607, 53.564364]}"
Blankenfelde (Kr Teltow-Fläming),4,Blankenfelde ,"{'type': 'Point', 'coordinates': [13.415982, 52.337213]}"
Blankenloch,4, Stutensee,"{'type': 'Point', 'coordinates': [8.464729, 49.066528]}"
Bobingen,4,Bobingen,"{'type': 'Point', 'coordinates': [10.837891, 48.266373]}"
Böblingen,3,Böblingen,"{'type': 'Point', 'coordinates': [9.004128, 48.687758]}"
Bochum Hbf,2,Bochum,"{'type': 'Point', 'coordinates': [7.223275, 51.478609]}"
Bochum-Langendreer,4,Bochum,"{'type': 'Point', 'coordinates': [7.323645, 51.477992]}"
Bochum-Langendreer,4,Bochum,"{'type': 'Point', 'coordinates': [7.323645, 51.477992]}"
Bochum-Langendreer West,4,Bochum,"{'type': 'Point', 'coordinates': [7.304327, 51.478032]}"
Bodenheim,4,Bodenheim,"{'type': 'Point', 'coordinates': [8.312491, 49.929585]}"
Bonn Hbf,2,Bonn,"{'type': 'Point', 'coordinates': [7.097136, 50.732008]}"
Bonn-Bad Godesberg,4,Bonn,"{'type': 'Point', 'coordinates': [7.159555, 50.683927]}"
Bonn-Beuel,4,Bonn,"{'type': 'Point', 'coordinates': [7.127657, 50.738476]}"
Boppard Hbf,4,Boppard,"{'type': 'Point', 'coordinates': [7.586102, 50.231413]}"
Bornheim-Sechtem,4,Bornheim,"{'type': 'Point', 'coordinates': [6.957454, 50.795711]}"
Bornholmer Straße,4,Berlin,"{'type': 'Point', 'coordinates': [13.397943, 52.554491]}"
Botanischer Garten,4,Berlin,"{'type': 'Point', 'coordinates': [13.306766, 52.447784]}"
Bottrop Hbf,4,Bottrop,"{'type': 'Point', 'coordinates': [6.936684, 51.50945]}"
Bottrop Hbf,4,Bottrop,"{'type': 'Point', 'coordinates': [6.936684, 51.50945]}"
Brackwede,4,Bielefeld,"{'type': 'Point', 'coordinates': [8.498426, 51.997378]}"
Brandenburg Hbf,3,Brandenburg an der Havel,"{'type': 'Point', 'coordinates': [12.566138, 52.400554]}"
Brannenburg,4,Brannenburg,"{'type': 'Point', 'coordinates': [12.106464, 47.741354]}"
Braunschweig Hbf,2,Braunschweig,"{'type': 'Point', 'coordinates': [10.540295, 52.252218]}"
