Delitzsch unt Bf,8010076,4,Delitzsch
Delmenhorst,8000070,3,Delmenhorst
Denzlingen,8001415,4,Denzlingen
Dessau Hauptbahnhof,8010077,3,Dessau-Roßlau
Dieburg,8000362,4,Dieburg
Diepholz,8001443,4,Diepholz
Dillenburg,8000074,4,Dillenburg
Dillingen (Saar),8000075,3,Dillingen (Saar)
Ditzingen,8001476,4,Ditzingen
Doberlug-Kirchhain,8010079,4,Doberlug-Kirchhain
Doberlug-Kirchhain,8010079,4,Doberlug-Kirchhain
Donaueschingen,8000077,4,Donaueschingen
Donauwörth,8000078,4,Donauwörth
Dormagen,8001506,4,Dormagen
Dorsten,8006709,4,Dorsten
Dortmund Hbf,8000080,1,Dortmund
Dortmund Signal-Iduna-Park,8001522,4,Dortmund
Dortmund-Dorstfeld,8000081,3,Dortmund
Dortmund-Dorstfeld,8000081,3,Dortmund
Dortmund-Dorstfeld,8000081,3,Dortmund
Dortmund-Dorstfeld Süd,8004230,4,Dortmund
Dortmund-Hörde,8000961,4,Dortmund
Dortmund-Kley,8004269,4,Dortmund
Dortmund-Oespel,8004288,4,Dortmund
Dortmund-Universität,8004419,4,Dortmund
Dortmund-Westfalenhalle,8001522,4,Dortmund
Dreieich-Buchschlag,8001236,4,Dreieich
Dresden Hbf,8010085,1,Dresden
Dresden Mitte,8013444,4,Dresden
Dresden-Klotzsche,8010088,4,Dresden
Dresden-Neustadt,8010089,2,Dresden
Duisburg Hbf,8000086,1,Duisburg
Duisburg-Buchholz,8001600,4,Duisburg
Duisburg-Großenbaum,8001602,4,Duisburg
Duisburg-Meiderich Süd,8000367,4,Duisburg
Dülmen,8000083,4,Dülmen
Dülmen,8000083,4,Dülmen
Düren,8000084,3,Düren
Düren,8000084,3,Düren
Düsseldorf Flughafen,8000082,2,Düsseldorf
Düsseldorf Flughafen,8000082,2,Düsseldorf
Düsseldorf Flughafen,8000082,2,Düsseldorf
Düsseldorf Flughafen,8000082,2,Düsseldorf
Düsseldorf Hbf,8000085,1,Düsseldorf
Düsseldorf Wehrhahn,8001582,4,Düsseldorf
Düsseldorf Zoo,8001583,4,Düsseldorf
Düsseldorf-Benrath,8001584,3,Düsseldorf
Düsseldorf-Bilk,8001585,4,Düsseldorf
Düsseldorf-Bilk,8001585,4,Düsseldorf
Düsseldorf-Derendorf,8001586,4,Düsseldorf
Düsseldorf-Reisholz,8001594,4,Düsseldorf
Düsseldorf-Reisholz,8001594,4,Düsseldorf
Düsseldorf-Unterrath,8001595,4,Düsseldorf
Eberbach,8000369,3,Eberbach
Ebersbach (Fils),8001632,4,Ebersbach (Fils)
Ebersberg (Oberbay),8001634,4,Ebersberg (Oberbay)
Eberswalde Hbf,8010093,3,Eberswalde
Echterdingen,8001650,4,Echterdingen
Efringen-Kirchen,8001671,4,Efringen-Kirchen
Eglharting,8001682,4,Kirchseeon
Ehingen (Donau),8001684,4,Ehingen (Donau)
Ehningen (b Böblingen),8001689,4,Ehningen 
Eichenberg,8000090,4,Neu-Eichenberg
Eichstätt Bahnhof,8001708,4,Eichstätt
Eidelstedt (S-Bahn),8002555,3,Hamburg
Eidelstedt (S-Bahn),8002555,3,Hamburg
Eilenburg,8010095,4,Eilenburg
Eisenach,8010097,3,Eisenach
Eisenach,8010097,3,Eisenach
Eislingen (Fils),8001731,4,Eislingen (Fils)
Elbgaustraße (S-Bahn),8001739,4,Hamburg
Elbgaustraße (S-Bahn),8001739,4,Hamburg
Elmshorn,8000092,3,Elmshorn
Elmshorn,8000092,3,Elmshorn
Elsterwerda,8010099,4,Elsterwerda
Elze (Han),8000093,4,Elze 
Emden Hbf,8001768,3,Emden
Emmendingen,8001771,4,Emmendingen
Emmerich,8001773,4,Emmerich
Emsdetten,8001782,4,Emsdetten
Endersbach,8001785,4,Weinstadt
Engen,8001790,4,Engen 
Erbach (Württ),8001820,4,Erbach (Württ)
Erftstadt,8003671,4,Erftstadt
Erftstadt,8003671,4,Erftstadt
Erfurt Hbf,8010101,2,Erfurt
Erkelenz,8001839,4,Erkelenz
Erkner,8013477,3,Erkner
Erlangen,8001844,3,Erlangen
Erzhausen,8001864,4,Erzhausen
Erzingen (Baden),8001865,4,Klettgau
Eschhofen,8001883,4,Limburg a. d. Lahn
Eschweiler Hbf,8001886,4,Eschweiler
Essen Hbf,8000098,1,Essen
Essen Stadtwald,8001896,4,Essen
Essen West,8001898,4,Essen
Essen-Frohnhausen,8001906,4,Essen
Essen-Steele,8000099,4,Essen
Essen-Steele Ost,8001913,4,Essen
Esslingen (Neckar),8001920,3,Esslingen am Neckar
Esslingen-Mettingen,8001921,3,Esslingen am Neckar
Esslingen-Zell,8006642,4,Esslingen am Neckar
Esting,8001996,4,Esting
Etelsen,8001924,4,Langwedel
Euskirchen,8000100,3,Euskirchen
Eutingen im Gäu,8000101,4,Eutingen im Gäu
Evershagen,8011523,4,Rostock
Falkenberg (Elster),8010103,3,Falkenberg (Elster)
Falkenberg (Elster),8010103,3,Falkenberg (Elster)
Fellbach,8001974,3,Fellbach
Feucht,8001978,3,Feucht
Finnentrop,8000102,4,Finnentrop
Flensburg,8000103,3,Flensburg
Flöha,8010108,4,Flöha
Flörsheim (Main),8002013,4,Flörsheim (Main)
Flughafen Köln/Bonn,8003330,3,Köln
Flughafen Leipzig/Halle,8012183,3,Schkeuditz
Flughafen München,8004168,4,Oberding
Flughafen München Besucherpark,8004167,4,Freising
Forchheim (Oberfr),8002024,4,Forchheim (Oberfr)
Frankenthal Hbf,8000332,4,Frankenthal
Frankenthal-Süd,8002025,4,Frankenthal
Frankfurt (Main) Flughafen Regionalbahnhof,8070004,3,Frankfurt am Main
Frankfurt (Main) Galluswarte,8006690,4,Frankfurt am Main
Frankfurt (Main) Hauptwache,8006692,3,Frankfurt am Main
Frankfurt (Main) Hbf,8000105,1,Frankfurt am Main
