Bf-Nr;Bahnhof;DS 100;Aufgaben­träger;Bahnhofs­kategorie 2015;Bahnhofs­kategorie 2005;Bundes­land;Regional­bereich;Stations­preis 2015 [€];Stations­preis 2005 [€];Veränderung 2005–2015 [%]
3383;Kothmaißling;NKMG;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
3385;Kottenforst;KKOF;NVR;6;6;Nordrhein-Westfalen;West;4,3;2,79;35,12
3386;Kottenheim;KKOH;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
3387;Köttewitz;DKTW;VVO;7;6;Sachsen;Südost;2,5;2,37;5,2
3389;Kötzschau;LKTU;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
3390;Kötzting;NKZ;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
3391;Kövenig;SKV;ZVRP Nord;7;6;Rheinland-Pfalz;Mitte;1,74;1,47;15,52
3392;Kraftsdorf;UKR;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
3393;Kraftwerk Finkenheerd;BFIK;VBB;6;5;Brandenburg;Ost;4,66;6,95;–49,14
3394;Kraghammer;EKRG;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
3397;Kranichfeld;UKD;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
3399;Kratzeburg;WKG;VMV;7;6;Mecklenburg-Vorpommern;Ost;3,85;2,72;29,35
3401;Krauschwitz (b Teuchern);UKW;VMV;7;6;Sachsen-Anhalt;Südost;3,85;1,97;48,83
3402;Kredenbach;EKRD;NWL;7;6;Nordrhein-Westfalen;West;3,42;2,79;18,42
2837;Krefeld Chempark;;VRR;6;;Nordrhein-Westfalen;;3,61;;
3403;Krefeld Hbf;KKR;VRR;3;4;Nordrhein-Westfalen;West;4,2;1,89;55
3404;Krefeld-Linn;KKRLF;VRR;5;6;Nordrhein-Westfalen;West;2,88;2,79;3,13
3404;Krefeld-Linn;KKRL;VRR;5;6;Nordrhein-Westfalen;West;2,88;2,79;3,13
3405;Krefeld-Oppum;KKRO;VRR;4;4;Nordrhein-Westfalen;West;2,82;1,89;32,98
3406;Krefeld-Uerdingen;KKRX;VRR;5;5;Nordrhein-Westfalen;West;2,88;2,83;1,74
3406;Krefeld-Uerdingen;KKRU;VRR;5;5;Nordrhein-Westfalen;West;2,88;2,83;1,74
3407;Kreiensen;HK;LNVG;4;3;Niedersachsen;Nord;5,93;6,53;–10,12
3408;Kreimbach;SKRB;ZPNV Süd;7;6;Rheinland-Pfalz;Mitte;1,76;1,47;16,48
3408;Kreimbach-Kaulbach;;ZPNV Süd;7;;Rheinland-Pfalz;;1,76;;
3409;Kremmen;BKRMM;VBB;6;5;Brandenburg;Ost;4,66;6,95;–49,14
3409;Kremmen;BKRM;VBB;6;5;Brandenburg;Ost;4,66;6,95;–49,14
3410;Krempe;AKM;LVS;6;5;Schleswig-Holstein;Nord;4,33;4,06;6,24
7255;Kremperheide;AKHD;LVS;6;6;Schleswig-Holstein;Nord;4,33;2,56;40,88
3411;Krensitz;LKNZ;ZVNL;6;6;Sachsen;Südost;2,57;2,37;7,78
3412;Kressbronn;TKN;NVBW;5;5;Baden-Württemberg;Südwest;3,49;2,31;33,81
3415;Kreuz Konz;SKK;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
3416;Kreuzberg (Ahr);KKRZ;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
3419;Kreuzstraße;MKZ;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
3420;Kreuztal;EKT;NWL;4;5;Nordrhein-Westfalen;West;5,35;2,83;47,1
3750;Kreuztal-Littfeld;;NWL;6;;Nordrhein-Westfalen;;4,1;;
3421;Kreuzweingarten;KKRW;NVR;7;6;Nordrhein-Westfalen;West;2,1;2,79;–32,86
3423;Kriftel;FKRI;RMV;4;5;Hessen;Mitte;3,2;2,37;25,94
3424;Krippen;DKRP;VVO;6;5;Sachsen;Südost;2,9;3,81;–31,38
3426;Krölpa-Ranis;UKPR;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
3427;Kronach;NK;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
3428;Kronberg (Taunus);FKRO;RMV;5;5;Hessen;Mitte;2,83;2,37;16,25
7986;Kronberg (Taunus) Süd;FKRS;RMV;6;5;Hessen;Mitte;3,13;2,37;24,28
7257;Kronshagen;;LVS;6;;Schleswig-Holstein;;4,33;;
3429;Kronskamp;WKRP;VMV;6;6;Mecklenburg-Vorpommern;Ost;5,24;2,72;48,09
3430;Kronweiler;SKRO;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
3431;Kröpelin;WKR;VMV;6;6;Mecklenburg-Vorpommern;Ost;5,24;2,72;48,09
3433;Krottorf;LKRF;NVS;7;6;Sachsen-Anhalt;Südost;3,34;1,97;41,02
3434;Krüden;LKUE;NVS;7;6;Sachsen-Anhalt;Südost;3,34;1,97;41,02
3435;Kruft;KKRF;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
3437;Krumbach (Schwab);MKRB;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
3438;Krumbach (Schwab) Schule;MKRS;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
3439;Krumhermsdorf;DKRU;VVO;7;6;Sachsen;Südost;2,5;2,37;5,2
3442;Krumpa;LKRP;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
3443;Krupunder (S-Bahn);AKRS;LVS;4;4;Schleswig-Holstein;Nord;4,35;1,76;59,54
3444;Kubschütz;DKU;ZVON;6;6;Sachsen;Südost;3,99;2,37;40,6
3445;Kuchen;TKUC;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
3446;Kuchenheim;KKUH;NVR;6;5;Nordrhein-Westfalen;West;4,3;2,83;34,19
3454;Kühnhausen;UKU;NVS;5;6;Thüringen;Südost;3,97;1,78;55,16
3455;Kühren;LKUH;ZVNL;6;6;Sachsen;Südost;2,57;2,37;7,78
3458;Kulmbach;NKU;BEG;4;5;Bayern;Süd;3,97;2,32;41,56
3459;Kummerow (b Stralsund);WKUM;VMV;7;6;Mecklenburg-Vorpommern;Ost;3,85;2,72;29,35
3460;Kummersdorf (b Storkow);BKUM;VBB;7;6;Brandenburg;Ost;3,02;3,44;–13,91
4861;Kunersdorf;BPA;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
3463;Künsebeck;EKUE;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
3464;Küntrop;EKNT;NWL;7;6;Nordrhein-Westfalen;West;3,42;2,79;18,42
3465;Kupfermühle;AKUP;LVS;6;6;Schleswig-Holstein;Nord;4,33;2,56;40,88
3467;Küps;NKUE;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
3468;Kürbitz;DKUR;ZVV;6;6;Sachsen;Südost;4,03;2,37;41,19
86;Kurort Altenberg (Erzgeb);;VVO;5;;Sachsen;;2,41;;
3475;Kurort Rathen (Kr Pirna);DRAT;VVO;6;5;Sachsen;Südost;2,9;3,81;–31,38
3476;Kusel;SKUS;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
3478;Küstrin-Kietz;BKI;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
3479;Kutzenhausen;MKUN;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
3481;Kyhna;LKYA;ZVNL;6;6;Sachsen;Südost;2,57;2,37;7,78
3482;Kyllburg;SKY;ZVRP Nord;6;5;Rheinland-Pfalz;Mitte;2,2;1,73;21,36
3483;Kyritz;WKY;ZVRP Nord;6;6;Brandenburg;Ost;2,2;3,44;–56,36
3484;Laaber;NLB;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
3485;Laage (Meckl);WLA;VMV;7;6;Mecklenburg-Vorpommern;Ost;3,85;2,72;29,35
3489;Laberweinting;MLBW;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
3490;Ladenburg;RLD;NVBW;5;5;Baden-Württemberg;Südwest;3,49;2,31;33,81
3491;Lage (Lippe);ELAG;NWL;5;5;Nordrhein-Westfalen;West;4,04;2,83;29,95
3492;Lagerlechfeld;MLLF;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
3493;Laggenbeck;HLGG;NWL;5;5;Nordrhein-Westfalen;West;4,04;2,83;29,95
3494;Lahr (Schwarzw);RLSW;NVBW;4;5;Baden-Württemberg;Südwest;4,62;2,31;50
3496;Lalendorf;WLD;VMV;7;6;Mecklenburg-Vorpommern;Ost;3,85;2,72;29,35
3497;Lambrecht (Pfalz);RLBP;ZPNV Süd;4;5;Rheinland-Pfalz;Mitte;4,26;1,73;59,39
3498;Lambsheim;RLSH;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
3500;Lampertheim;FLP;VRN;4;5;Hessen;Mitte;3,81;2,37;37,8
3501;Lampertsmühle-Otterbach;SLAO;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
3502;Lampertswalde;BLW;VVO;6;6;Sachsen;Südost;2,9;2,37;18,28
3503;Lancken;WLAK;VMV;6;6;Mecklenburg-Vorpommern;Ost;5,24;2,72;48,09
3504;Landau (Isar);MLDI;BEG;5;6;Bayern;Süd;3,17;2,01;36,59
3505;Landau (Pfalz) Hbf;RLA;ZPNV Süd;4;4;Rheinland-Pfalz;Mitte;4,26;1,31;69,25
8283;Landau (Pfalz) Süd;;ZPNV Süd;7;;Rheinland-Pfalz;;1,76;;
3506;Landau (Pfalz) West;RLW;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
3507;Landsberg (b Halle/Saale);LLBG;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
3508;Landsberg (b Halle/Saale) Süd;LLAS;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
3509;Landsberg (Lech);MLL;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
3510;Landsberg (Lech) Schule;MLLS;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
3511;Landsberger Allee;BLST;VBB Berlin;4;4;Berlin;Ost;2,25;1,96;12,89
3513;Landshut (Bay) Hbf;MLA;BEG;2;3;Bayern;Süd;13,28;8,54;35,69
3515;Landstuhl;SLD;ZPNV Süd;3;5;Rheinland-Pfalz;Mitte;4,33;1,73;60,05
3516;Landsweiler-Reden;SLWR;VGS;5;5;Saarland;Mitte;1,66;1,46;12,05
3517;Landungsbrücken (S-Bahn);ALAS;BWVI;4;4;Hamburg;Nord;2,87;2,12;26,13
3518;Landwehr (S-Bahn);ALAN;BWVI;4;4;Hamburg;Nord;2,87;2,12;26,13
3519;Lang Göns;FLGS;RMV;4;5;Hessen;Mitte;3,2;2,37;25,94
3520;Langdorf;NLG;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
3521;Langebrück (Sachs);DLAB;VVO;5;6;Sachsen;Südost;2,41;2,37;1,66
3523;Langelsheim;HLNG;ZGB;6;6;Niedersachsen;Nord;5,12;2,61;49,02
3524;Langen (Hess);FLG;RMV;4;4;Hessen;Mitte;3,2;1,85;42,19
8023;Langen-Flugsicherung;FLGF;RMV;5;4;Hessen;Mitte;2,83;1,85;34,63
3525;Langenargen;TLR;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
3527;Langenau (Württ);TLL;NVBW;5;5;Baden-Württemberg;Südwest;3,49;2,31;33,81
3528;Langenbach (Oberbay);MLB;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
3532;Langenbuch;DLCH;VRR;5;6;Thüringen;Südost;2,88;1,78;38,19
3533;Langendorf;ULF;NASA;7;6;Sachsen-Anhalt;Südost;2,9;1,97;32,07
3534;Langeneichstädt;LLGS;NASA;7;6;Sachsen-Anhalt;Südost;2,9;1,97;32,07
3535;Langenfeld (Rheinl);KLA;VRR;5;4;Nordrhein-Westfalen;West;2,88;1,89;34,38
3536;Langenfeld (Rheinl)-Berghausen;KLAB;VRR;5;4;Nordrhein-Westfalen;West;2,88;1,89;34,38
3537;Langenfelde (S-Bahn);ALST;BWVI;4;4;Hamburg;Nord;2,87;2,12;26,13
3093;Langenhagen–Kaltenweide;HKAW;RH;5;5;Niedersachsen;Nord;4,88;2,75;43,65
3539;Langenhagen Pferdemarkt;HLGH;RH;4;4;Niedersachsen;Nord;5,12;1,96;61,72
7179;Langenhagen-Mitte;HLGM;RH;3;3;Niedersachsen;Nord;6,04;6,53;–8,11
3540;Langenhahn;FLAH;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
3542;Langenhorn (Schlesw);ALG;LVS;5;6;Schleswig-Holstein;Nord;4,66;2,56;45,06
3545;Langenlonsheim;SLN;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
3547;Langenorla Ost;ULAO;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
3548;Langenorla West;ULAW;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
3549;Langenprozelten;NLP;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
3550;Langenselbold;FSLB;RMV;4;5;Hessen;Mitte;3,2;2,37;25,94
3551;Langenstein;LLAG;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
3552;Langenwang (Schwab);MLNW;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
3553;Langenweddingen;LLWD;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
3554;Langenwolmsdorf;DLW;VVO;7;6;Sachsen;Südost;2,5;2,37;5,2
3555;Langenwolmsdorf Mitte;DLWM;VVO;7;6;Sachsen;Südost;2,5;2,37;5,2
3556;Langenzenn;NLZ;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
3557;Langerwehe;KLAW;NVR;5;5;Nordrhein-Westfalen;West;3,54;2,83;20,06
3559;Langhagen;;VMV;7;;Mecklenburg-Vorpommern;;3,85;;
3560;Langlau;NLGU;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
3563;Langsdorf (Oberhess);FLF;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
3564;Langstadt;FLAS;RMV;7;6;Hessen;Mitte;2,27;2,32;–2,2
3565;Langwedel;HLGW;LNVG;4;5;Niedersachsen;Nord;5,93;2,75;53,63
3566;Langweid (Lech);MLAW;BEG;5;6;Bayern;Süd;3,17;2,01;36,59
7144;Lankwitz;BLAK;VBB Berlin;6;4;Berlin;Ost;2,81;1,96;30,25
3568;Lathen;HLAT;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
3569;Laubendorf;NLDF;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
3570;Laubenheim (Nahe);SLAU;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
3571;Laucha (Unstrut);ULCH;NASA;7;6;Sachsen-Anhalt;Südost;2,9;1,97;32,07
3573;Lauchhammer;BLH;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
3574;Lauchheim;TLH;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
3575;Lauchringen;RLAU;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
8048;Lauchringen West;;NVBW;6;;Baden-Württemberg;;2,93;;
3576;Lauda;TL;NVBW;4;5;Baden-Württemberg;Südwest;4,62;2,31;50
3577;Laudenbach (b Kleinheubach);NLK;NVBW;4;6;Bayern;Süd;4,62;2,01;56,49
3578;Laudenbach (Bergstr);RLCH;NVBW;5;5;Baden-Württemberg;Südwest;3,49;2,31;33,81
3579;Laudenbach (Württ);TLC;NVBW;5;6;Baden-Württemberg;Südwest;3,49;2,03;41,83
3580;Lauenbrück;ALUB;LNVG;5;6;Niedersachsen;Nord;4,97;2,61;47,48
3581;Lauenburg (Elbe);ALAU;LVS;6;6;Schleswig-Holstein;Nord;4,33;2,56;40,88
3582;Lauenförde;HLFO;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
3583;Lauenstein (Sachs);DLST;VVO;7;6;Sachsen;Südost;2,5;2,37;5,2
3584;Lauf (links Pegnitz);NLL;BEG;5;3;Bayern;Süd;3,17;8,54;–169,4
3585;Lauf (rechts Pegnitz);NLR;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
3586;Lauf West;NLLW;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
3587;Laufach;NLA;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
3589;Laufenburg (Baden);RLFG;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
3590;Laufenburg (Baden) Ost;RLBO;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
3591;Lauffen (Neckar);TLN;NVBW;4;5;Baden-Württemberg;Südwest;4,62;2,31;50
3592;Lauingen;MLIG;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
7892;Laupheim Stadt;TLM;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
3593;Laupheim West;TLW;NVBW;4;5;Baden-Württemberg;Südwest;4,62;2,31;50
3594;Laurenburg (Lahn);FLBG;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
3595;Lauscha (Thür);ULA;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
3598;Laußnitz;DLZ;VVO;6;6;Sachsen;Südost;2,9;2,37;18,28
3599;Lauta (Niederlausitz);BLA;VVO;6;6;Sachsen;Südost;2,9;2,37;18,28
3600;Lautenbach (Baden);RLBA;NVBW;7;6;Baden-Württemberg;Südwest;2,33;2,03;12,88
3602;Lauterbach (Hess) Nord;FLAU;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
3603;Lauterbach (Mole);WLAU;VMV;6;6;Mecklenburg-Vorpommern;Ost;5,24;2,72;48,09
3603;Lauterbach (Mole);WLAM;VMV;6;6;Mecklenburg-Vorpommern;Ost;5,24;2,72;48,09
8148;Lauterbach (Rügen);;VMV;7;;Mecklenburg-Vorpommern;;3,85;;
3604;Lauterbach-Steinbach;LLSB;ZVNL;6;4;Sachsen;Südost;2,57;1,61;37,35
3605;Lauterecken-Grumbach;SLKG;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
3606;Lebach;SLCH;VGS;6;6;Saarland;Mitte;1,83;1,25;31,69
7964;Lebach-Jabach;SLCJ;VGS;6;6;Saarland;Mitte;1,83;1,25;31,69
3609;Leer (Ostfriesl);HLEE;LNVG;3;3;Niedersachsen;Nord;7,67;6,53;14,86
3610;Leese-Stolzenau;HLST;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
3611;Legden;ELGD;NWL;7;6;Nordrhein-Westfalen;West;3,42;2,79;18,42
3612;Legefeld;ULE;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
3613;Legelshurst;RLT;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
3614;Lehmen;SLE;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
3615;Lehndorf (Kr Altenburg);DLH;NVS;6;6;Thüringen;Südost;4,2;1,78;57,62
3616;Lehnheim;FLEH;RMV;7;6;Hessen;Mitte;2,27;2,32;–2,2
3617;Lehnitz;BLEN;VBB;5;4;Brandenburg;Ost;4,08;2,74;32,84
3620;Lehrte;HLER;RH;3;4;Niedersachsen;Nord;6,04;1,96;67,55
3621;Leichlingen;KLEL;NVR;5;5;Nordrhein-Westfalen;West;3,54;2,83;20,06
3622;Leiferde (b Gifhorn);HLFG;ZGB;6;6;Niedersachsen;Nord;5,12;2,61;49,02
3625;Leinefelde;UL;NVS;3;5;Thüringen;Südost;15,21;4,22;72,26
3626;Leinfelden;TLF;VRStutt;4;4;Baden-Württemberg;Südwest;3,48;1,47;57,76
3629;Leipheim;MLEH;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
146;Leipzig Anger-Crottendorf;LACF;ZVNL;6;4;Sachsen;Südost;2,57;1,61;37,35
8099;Leipzig Bayerischer Bahnhof;;ZVNL;5;;Sachsen;;4,43;;
1070;Leipzig Coppiplatz;LCZ;ZVNL;6;5;Sachsen;Südost;2,57;3,81;–48,25
2386;Leipzig Grünauer Allee;LGRA;ZVNL;6;5;Sachsen;Südost;2,57;3,81;–48,25
3631;Leipzig Hbf;LL;ZVNL;1;1;Sachsen;Südost;31,8;31,1;2,2
2990;Leipzig Industriegelände West;LIW;BEG;6;5;Sachsen;Südost;3,34;3,81;–14,07
3113;Leipzig Karlsruher Straße;LKRS;ZVNL;6;5;Sachsen;Südost;2,57;3,81;–48,25
3294;Leipzig Knautnaundorf;LKNF;ZVNL;6;6;Sachsen;Südost;2,57;2,37;7,78
3731;Leipzig Lindenau;LLIN;ZVNL;6;5;Sachsen;Südost;2,57;3,81;–48,25
3952;Leipzig Marienbrunn;LMBU;NASA;6;4;Sachsen;Südost;4,07;1,61;60,44
8097;Leipzig Markt;;ZVNL;5;;Sachsen;;4,43;;
8100;Leipzig MDR;;ZVNL;6;;Sachsen;;2,57;;
7848;Leipzig Messe;;ZVNL;3;;Sachsen;;5,74;;
4112;Leipzig Miltitz;LMIZ;ZVNL;6;6;Sachsen;Südost;2,57;2,37;7,78
4114;Leipzig Miltitzer Allee;LMIA;ZVNL;6;5;Sachsen;Südost;2,57;3,81;–48,25
7848;Leipzig Neue Messe;LNW;ZVNL;3;4;Sachsen;Südost;5,74;1,61;71,95
8275;Leipzig Nord;;ZVNL;6;;Sachsen;;2,57;;
3633;Leipzig Ost;LLOT;ZVNL;6;4;Sachsen;Südost;2,57;1,61;37,35
5816;Leipzig Sellerhausen;LSEH;ZVNL;5;4;Sachsen;Südost;4,43;1,61;63,66
8098;Leipzig Wilhelm-Leuschner-Platz;;ZVNL;5;;Sachsen;;4,43;;
3636;Leipzig-Connewitz;LLC;ZVNL;5;4;Sachsen;Südost;4,43;1,61;63,66
3637;Leipzig-Gohlis;LLG;ZVNL;4;4;Sachsen;Südost;3,19;1,61;49,53
3638;Leipzig-Großzschocher;LLGZ;ZVNL;4;6;Sachsen;Südost;3,19;2,37;25,71
3639;Leipzig-Heiterblick;LLH;ZVNL;6;6;Sachsen;Südost;2,57;2,37;7,78
2885;Leipzig-Holzhausen;LHSN;ZVNL;7;4;Sachsen;Südost;4,12;1,61;60,92
3641;Leipzig-Knauthain;LLK;ZVNL;6;6;Sachsen;Südost;2,57;2,37;7,78
3642;Leipzig-Leutzsch;LLEL;ZVNL;5;5;Sachsen;Südost;4,43;3,81;14
3711;Leipzig-Liebertwolkwitz;LLWZ;ZVNL;6;4;Sachsen;Südost;2,57;1,61;37,35
3731;Leipzig-Lindenau;;ZVNL;6;;Sachsen;;2,57;;
3877;Leipzig-Lützschena;;ZVNL;6;;Sachsen;;2,57;;
3643;Leipzig-Möckern;LLMH;ZVNL;4;5;Sachsen;Südost;3,19;3,81;–19,44
4157;Leipzig-Mölkau;LMLK;ZVNL;7;4;Sachsen;Südost;4,12;1,61;60,92
8094;Leipzig-Olbrichtstraße;LSEL;ZVNL;6;5;Sachsen;Südost;2,57;3,81;–48,25
3644;Leipzig-Paunsdorf;LLPDH;ZVNL;5;4;Sachsen;Südost;4,43;1,61;63,66
3644;Leipzig-Paunsdorf;LLPD;ZVNL;5;4;Sachsen;Südost;4,43;1,61;63,66
3645;Leipzig-Plagwitz;LLP;ZVNL;5;4;Sachsen;Südost;4,43;1,61;63,66
5412;Leipzig-Rückmarsdorf;LRMF;ZVNL;6;6;Sachsen;Südost;2,57;2,37;7,78
5816;Leipzig-Sellerhausen;;ZVNL;5;;Sachsen;;4,43;;
8096;Leipzig-Slevogtstraße;LSVS;ZVNL;6;5;Sachsen;Südost;2,57;3,81;–48,25
3646;Leipzig-Stötteritz;LLST;ZVNL;5;4;Sachsen;Südost;4,43;1,61;63,66
3647;Leipzig-Thekla;LLT;ZVNL;6;6;Sachsen;Südost;2,57;2,37;7,78
3632;Leipzig-Völkerschlachtdenkmal;LLVD;ZVNL;6;4;Sachsen;Südost;2,57;1,61;37,35
3632;Leipzig-Völkerschlachtdenkmal;LLMG;ZVNL;6;4;Sachsen;Südost;2,57;1,61;37,35
3649;Leipzig-Wahren Hp;LLW H;ZVNL;6;5;Sachsen;Südost;2,57;3,81;–48,25
3649;Leipzig-Wahren Hp;LLW H;ZVNL;6;5;Sachsen;Südost;2,57;3,81;–48,25
3650;Leisnig;DLS;VMS;6;6;Sachsen;Südost;4,26;2,37;44,37
3651;Leißling;ULL;NASA;5;6;Sachsen-Anhalt;Südost;4,16;1,97;52,64
3652;Leitstade;ALE;LNVG;7;6;Niedersachsen;Nord;2,98;2,61;12,42
3654;Lembeck;ELBK;VRR;6;6;Nordrhein-Westfalen;West;3,61;2,79;22,71
3655;Lemförde;HLMF;LNVG;5;6;Niedersachsen;Nord;4,97;2,61;47,48
3657;Lemmie;HLEM;RH;5;5;Niedersachsen;Nord;4,88;2,75;43,65
3658;Lendringsen;ELSN;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
894;Lengede-Broistedt;HBST;ZGB;6;6;Niedersachsen;Nord;5,12;2,61;49,02
894;Lengede-Broistedt;HBOI;ZGB;6;6;Niedersachsen;Nord;5,12;2,61;49,02
3660;Lengenfeld (Vogtl);DLFD;ZVV;6;6;Sachsen;Südost;4,03;2,37;41,19
3661;Lengenwang;MLWG;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
3662;Lengerich (Westf);ELEN;NWL;5;5;Nordrhein-Westfalen;West;4,04;2,83;29,95
3663;Lengfeld;FLE;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
3664;Lenggries;MLG;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
8085;Lenglern;;LNVG;7;;Niedersachsen;;2,98;;
104;Lennestadt-Altenhundem;;NWL;4;;Nordrhein-Westfalen;;5,35;;
2264;Lennestadt-Grevenbrück;;NWL;5;;Nordrhein-Westfalen;;4,04;;
4024;Lennestadt-Meggen;;NWL;6;;Nordrhein-Westfalen;;4,1;;
3666;Lensahn;;LVS;7;;Schleswig-Holstein;;2,26;;
3667;Leonberg;TLE;VRStutt;4;5;Baden-Württemberg;Südwest;3,48;2,31;33,62
3668;Leopoldstal;ELEO;NWL;7;6;Nordrhein-Westfalen;West;3,42;2,79;18,42
3669;Leschede;HLED;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
3670;Letmathe;ELE;NWL;4;4;Nordrhein-Westfalen;West;5,35;1,89;64,67
3671;Letmathe-Dechenhöhle;ELED;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
3672;Letschin;BLTS;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
3673;Lette (Kr Coesfeld);ELET;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
3674;Letter;HLT;RH;5;5;Niedersachsen;Nord;4,88;2,75;43,65
3676;Leubingen;ULBN;NVS;6;6;Thüringen;Südost;4,2;1,78;57,62
3677;Leubsdorf (Rhein);KLEU;ZVRP Nord;6;5;Rheinland-Pfalz;Mitte;2,2;1,73;21,36
831;Leun/Braunfels;FBFS;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
3681;Leuna Werke Nord;LLWN;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
3682;Leuna Werke Süd;LLWS;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
3683;Leutenberg;ULEU;NVS;6;6;Thüringen;Südost;4,2;1,78;57,62
3684;Leuterschach;MLSH;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
3685;Leutersdorf;DLT;BEG;7;6;Sachsen;Südost;2,41;2,37;1,66
