Bf-Nr;Bahnhof;DS 100;Aufgaben­träger;Bahnhofs­kategorie 2015;Bahnhofs­kategorie 2005;Bundes­land;Regional­bereich;Stations­preis 2015 [€];Stations­preis 2005 [€];Veränderung 2005–2015 [%]
138;Amorbach;NAMB;NWL;6;6;Bayern;Süd;4,1;2,01;50,98
139;Ampfing;MAPF;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
140;Amsdorf;LAMS;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
141;Amstetten (Württ);TAM S;NVBW;5;5;Baden-Württemberg;Südwest;3,49;2,31;33,81
141;Amstetten (Württ);TAM;NVBW;5;5;Baden-Württemberg;Südwest;3,49;2,31;33,81
142;Amtshainersdorf;DAMH;VVO;7;6;Sachsen;Südost;2,5;2,37;5,2
144;Andernach;KAND;ZVRP Nord;3;3;Rheinland-Pfalz;Mitte;5,89;9,56;–62,31
145;Anderten-Misburg;HAMI;RH;5;5;Niedersachsen;Nord;4,88;2,75;43,65
147;Angermund;KANM;VRR;5;5;Nordrhein-Westfalen;West;2,88;2,83;1,74
148;Angermünde;WA;VBB;3;3;Brandenburg;Ost;11,35;19,94;–75,68
149;Angern-Rogätz;LANG;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
150;Angersbach;FANG;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
151;Angersdorf;LAG;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
152;Anklam;WAK;VMV;5;5;Mecklenburg-Vorpommern;Ost;5,08;9,03;–77,76
156;Annaburg;LAB;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
158;Annweiler am Trifels;RAN;ZPNV Süd;5;6;Rheinland-Pfalz;Mitte;3,17;1,47;53,63
8242;Annweiler-Sarnstall;;ZPNV Süd;7;;Rheinland-Pfalz;;1,76;;
160;Anrath;KANR;VRR;5;5;Nordrhein-Westfalen;West;2,88;2,83;1,74
161;Ansbach;NAN;BEG;3;3;Bayern;Süd;5,81;8,54;–46,99
163;Anwanden;NAWN;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
164;Anzefahr;FAZ;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
166;Apolda;UAP;NVS;4;5;Thüringen;Südost;5,59;4,22;24,51
167;Appelhülsen;EAPH;NWL;4;5;Nordrhein-Westfalen;West;5,35;2,83;47,1
168;Appenweier;RAPP;NVBW;4;5;Baden-Württemberg;Südwest;4,62;2,31;50
168;Appenweier;RAP;NVBW;4;5;Baden-Württemberg;Südwest;4,62;2,31;50
169;Ardey;EARE;NWL;7;6;Nordrhein-Westfalen;West;3,42;2,79;18,42
171;Arensdorf (b Köthen);LAF;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
