Altersbach,7,Altersbach,"{'type': 'Point', 'coordinates': [10.544522, 50.70064]}"
Altes Lager,7,Niedergörsdorf,"{'type': 'Point', 'coordinates': [12.989048, 52.017356]}"
Altes Lager,7,Niedergörsdorf,"{'type': 'Point', 'coordinates': [12.989048, 52.017356]}"
Altglashütten-Falkau,6,Feldberg-Altglashütten,"{'type': 'Point', 'coordinates': [8.114113, 47.859392]}"
Altglienicke,4,Berlin,"{'type': 'Point', 'coordinates': [13.558753, 52.407299]}"
Althegnenberg,5,Althegnenberg,"{'type': 'Point', 'coordinates': [11.063003, 48.236374]}"
Altheim (Hess),6,Münster,"{'type': 'Point', 'coordinates': [8.890906, 49.923332]}"
Althof,7,Bad Doberan,"{'type': 'Point', 'coordinates': [11.922341, 54.090442]}"
Altmittweida,6,Altmittweida,"{'type': 'Point', 'coordinates': [12.9596454, 50.9687044]}"
Altmorschen,6,Morschen,"{'type': 'Point', 'coordinates': [9.610756, 51.067275]}"
Altomünster,6,Altomünster,"{'type': 'Point', 'coordinates': [11.255133, 48.384918]}"
Altranft,6,Bad Freienwalde (Oder),"{'type': 'Point', 'coordinates': [14.082107, 52.763368]}"
Altshausen,6,Altshausen,"{'type': 'Point', 'coordinates': [9.551478, 47.930711]}"
Altstädten (Allgäu),6,Sonthofen,"{'type': 'Point', 'coordinates': [10.280907, 47.48855]}"
Alttann,7,Wolfegg,"{'type': 'Point', 'coordinates': [9.793037, 47.841214]}"
Alzey,3,Alzey,"{'type': 'Point', 'coordinates': [8.109749, 49.7502]}"
Alzey Süd,6,Alzey,"{'type': 'Point', 'coordinates': [8.118732, 49.738134]}"
Amberg,5,Amberg,"{'type': 'Point', 'coordinates': [11.862902, 49.447616]}"
Amelsbüren,6,Münster-Amelsbüren,"{'type': 'Point', 'coordinates': [7.598897, 51.883662]}"
Ammern,7,Mühlhausen (Thür),"{'type': 'Point', 'coordinates': [10.458086, 51.233346]}"
Ampfing,5,Ampfing,"{'type': 'Point', 'coordinates': [12.410919, 48.253949]}"
Amsdorf,6,Amsdorf,"{'type': 'Point', 'coordinates': [11.71979, 51.463561]}"
Amstetten (Württ),5,Amstetten (Württ),"{'type': 'Point', 'coordinates': [9.872965, 48.578328]}"
Amstetten (Württ),5,Amstetten (Württ),"{'type': 'Point', 'coordinates': [9.872965, 48.578328]}"
Amtshainersdorf,7,Sebnitz - Amtshainersdorf,"{'type': 'Point', 'coordinates': [14.232364, 50.966322]}"
Andernach,3,Andernach,"{'type': 'Point', 'coordinates': [7.404839, 50.434542]}"
Anderten-Misburg,5,Hannover-Anderten,"{'type': 'Point', 'coordinates': [9.861109, 52.369161]}"
Angermund,5,Düsseldorf,"{'type': 'Point', 'coordinates': [6.781857, 51.330748]}"
Angermünde,3,Angermünde,"{'type': 'Point', 'coordinates': [13.996361, 53.015221]}"
Angern-Rogätz,6,Angern,"{'type': 'Point', 'coordinates': [11.759535, 52.338464]}"
Angersbach,6,Wartenberg,"{'type': 'Point', 'coordinates': [9.44726, 50.63077]}"
Angersdorf,6,Angersdorf,"{'type': 'Point', 'coordinates': [11.903139, 51.460407]}"
Anklam,5,Anklam,"{'type': 'Point', 'coordinates': [13.701827, 53.856102]}"
Annaburg,6,Annaburg,"{'type': 'Point', 'coordinates': [13.032757, 51.72868]}"
Annweiler am Trifels,5,Annweiler am Trifels,"{'type': 'Point', 'coordinates': [7.966149, 49.205386]}"
Annweiler-Sarnstall,7,Annweiler am Trifels,"{'type': 'Point', 'coordinates': [7.937192, 49.208725]}"
Anrath,5,Willich,"{'type': 'Point', 'coordinates': [6.45023, 51.285536]}"
Ansbach,3,Ansbach,"{'type': 'Point', 'coordinates': [10.578239, 49.298032]}"
Anwanden,6,Zirndorf,"{'type': 'Point', 'coordinates': [10.930396, 49.411692]}"
Anzefahr,6,Kirchhain,"{'type': 'Point', 'coordinates': [8.85959, 50.845731]}"
Apolda,4,Apolda,"{'type': 'Point', 'coordinates': [11.526136, 51.03094]}"
Appelhülsen,4,Nottuln-Appelhülsen,"{'type': 'Point', 'coordinates': [7.426334, 51.892139]}"
Appenweier,4,Appenweier,"{'type': 'Point', 'coordinates': [7.97319, 48.541461]}"
Appenweier,4,Appenweier,"{'type': 'Point', 'coordinates': [7.97319, 48.541461]}"
Ardey,7,Fröndenberg (Ardey),"{'type': 'Point', 'coordinates': [7.727176, 51.481163]}"
Arensdorf (b Köthen),6,Köthen (Anhalt),"{'type': 'Point', 'coordinates': [12.007416, 51.709511]}"
Arenshausen,6,Arenshausen,"{'type': 'Point', 'coordinates': [9.96855855, 51.3750554]}"
Arfurt (Lahn),6,Runkel,"{'type': 'Point', 'coordinates': [8.211079, 50.406403]}"
Arloff,6,Bad-Münstereifel,"{'type': 'Point', 'coordinates': [6.786608, 50.597676]}"
Armsheim,5,Armsheim,"{'type': 'Point', 'coordinates': [8.074113, 49.808372]}"
Arnbach,7,Schwabhausen,"{'type': 'Point', 'coordinates': [11.344044, 48.34132]}"
Arnsberg (Westf),4,Arnsberg,"{'type': 'Point', 'coordinates': [8.067965, 51.405662]}"
Arnschwang,7,Arnschwang,"{'type': 'Point', 'coordinates': [12.8116, 49.274608]}"
Arnsdorf (b Dresden),5,Arnsdorf,"{'type': 'Point', 'coordinates': [13.982212, 51.092807]}"
Arnstadt Hbf,4,Arnstadt,"{'type': 'Point', 'coordinates': [10.948262, 50.841939]}"
Arnstadt Süd,6,Arnstadt,"{'type': 'Point', 'coordinates': [10.954958, 50.831084]}"
Arsbeck,7,Wegberg,"{'type': 'Point', 'coordinates': [6.206563, 51.152006]}"
Artern,6,Artern,"{'type': 'Point', 'coordinates': [11.310757, 51.36324]}"
Arzberg (Oberfr),6,Arzberg (Oberfr),"{'type': 'Point', 'coordinates': [12.197692, 50.054633]}"
Aschaffenburg Hbf,2,Aschaffenburg,"{'type': 'Point', 'coordinates': [9.143697, 49.980557]}"
Aschaffenburg Hochschule,6,Aschaffenburg,"{'type': 'Point', 'coordinates': [9.160416, 49.974445]}"
Aschaffenburg Süd,6,Aschaffenburg,"{'type': 'Point', 'coordinates': [9.152586, 49.968465]}"
Aschau (Chiemgau),6,Aschau ,"{'type': 'Point', 'coordinates': [12.325564, 47.779106]}"
Ascheberg (Holst),5,Ascheberg (Holstein),"{'type': 'Point', 'coordinates': [10.339481, 54.148462]}"
Ascheberg (Westf),6,Ascheberg,"{'type': 'Point', 'coordinates': [7.600749, 51.782991]}"
Aschendorf,6,Papenburg,"{'type': 'Point', 'coordinates': [7.337153, 53.052179]}"
Aschersleben Pbf,4,Aschersleben,"{'type': 'Point', 'coordinates': [11.465689, 51.757122]}"
Ashausen,6,Stelle,"{'type': 'Point', 'coordinates': [10.145564, 53.368693]}"
Asperg,4,Asperg,"{'type': 'Point', 'coordinates': [9.147797, 48.907359]}"
Asselheim,7,Grünstadt,"{'type': 'Point', 'coordinates': [8.161602, 49.57622]}"
Asselheim,7,Grünstadt,"{'type': 'Point', 'coordinates': [8.161602, 49.57622]}"
Assenheim (Oberhess),6,Niddatal,"{'type': 'Point', 'coordinates': [8.812462, 50.304939]}"
Aßlar,6,Aßlar,"{'type': 'Point', 'coordinates': [8.462756, 50.588657]}"
Aßling (Oberbay),5,Aßling ,"{'type': 'Point', 'coordinates': [11.993518, 47.989491]}"
Assmannshausen,5,Rüdesheim am Rhein,"{'type': 'Point', 'coordinates': [7.867355, 49.985324]}"
Attendorn,6,Attendorn,"{'type': 'Point', 'coordinates': [7.908493, 51.124644]}"
Attendorn Hohen-Hagen,7,Attendorn,"{'type': 'Point', 'coordinates': [7.855281, 51.090165]}"
Attilastraße,5,Berlin,"{'type': 'Point', 'coordinates': [13.360951, 52.447681]}"
Au (Sieg),3,Windeck,"{'type': 'Point', 'coordinates': [7.656537, 50.773765]}"
Aue-Wingeshausen,7,Bad Berleburg,"{'type': 'Point', 'coordinates': [8.290085, 51.051785]}"
Auehütte,7,Schmalkalden,"{'type': 'Point', 'coordinates': [10.416666, 50.719672]}"
Auerbach (b Mosbach),6,Elztal-Auerbach,"{'type': 'Point', 'coordinates': [9.223276, 49.399563]}"
Auerbach (Vogtl) Hp,7,Auerbach ,"{'type': 'Point', 'coordinates': [12.379204, 50.506955]}"
Auerbach (Vogtl) ob Bf,7,Auerbach ,"{'type': 'Point', 'coordinates': [12.382054, 50.519136]}"
Auerbach (Vogtl) unt Bf,7,Auerbach ,"{'type': 'Point', 'coordinates': [12.391421, 50.511722]}"
Auersmacher,5,Kleinblittersdorf,"{'type': 'Point', 'coordinates': [7.044803, 49.143343]}"
Auerstedt,7,Auerstedt,"{'type': 'Point', 'coordinates': [11.590437, 51.10203]}"
Aufhausen (b Erding),6,Erding,"{'type': 'Point', 'coordinates': [11.894375, 48.274365]}"
Aufhausen (Württ),7,Bopfingen,"{'type': 'Point', 'coordinates': [10.317193, 48.85613]}"
Auggen,5,Auggen,"{'type': 'Point', 'coordinates': [7.586788, 47.789949]}"
Augsburg Haunstetterstraße,3,Augsburg,"{'type': 'Point', 'coordinates': [10.900985, 48.355285]}"
Augsburg Hbf,2,Augsburg,"{'type': 'Point', 'coordinates': [10.88557, 48.365441]}"
