Bahnhof,Bahnhofs-Nummer,Bahnhofs-Kategorie (2015)
Weinsberg/Ellhofen Gewerbegebiet,7713,6

Weißensee (Thür),6636,7

Weißenthurm,6638,5

Wellingsbüttel (S-Bahn),6657,5

Wellmitz,6658,6

Werbig,6677,6

Werbig,6677,6

Werder (b Neuruppin),6682,4

Werftpfuhl,6685,6

Wernberg,6688,5

Werne (a d Lippe),6689,5

Wertheim,6698,7

Wertheim Glashütte,6699,7

Wesel,6701,3

Wesel-Feldmark,6702,6

Wesenberg,6703,6

Westerhausen,6713,6

Westerland (Sylt),6714,3

Wethau,6725,6

Wetter (Ruhr),6728,5

Wiederstein,7950,7

Wiesbaden Hbf,6744,2

Wiesloch-Walldorf,6759,3

Wiesthal,6761,5

Wildberg (b Neuruppin),6764,5

Wilhelmshagen,6771,5

Wilhelmshaven,6772,4

Wiltingen (Saar),6788,6

Winninghausen,6803,6

Wismar,6818,5

Wittgensdorf ob Bf,6830,6

Wittighausen,6832,6

Wolfegg,6848,7

Wolfen (Kr Bitterfeld),6849,4

Wolkramshausen,6870,5

Woltersdorf (b Magdeburg),6878,6

Worms Brücke,6886,6

Wörsdorf,6890,6

Wörth (Isar),6891,5

Wörth (Main),6892,5

Wülknitz,6906,6

Wünschendorf (Elster),6908,6

Wuppertal-Ronsdorf,6932,5

Wuppertal-Sonnborn,6934,4

Wurzbach (Thür),6944,6

Wüstendittersdorf,6953,6

Wusterhausen (Dosse),6956,7

Wutike,6964,6

Zachun,6970,7

Zeddenick (Sachs-Anh),6978,6

Zell (Wiesental),6988,6

Zell-Kirchbrombach,6989,7

Zeppenfeld,7951,7

Zeppernick (b Magdeburg),7000,6

Zerrenthin,7006,7

Ziepel,7017,6

Zimmern bei Seckach,7025,6

Zörnigall,7046,7

Zschachenmühle,7050,6

Züssow,7063,5

Züttlingen,7064,6

Zwota-Zechenbach,7078,7

Zwotental,7079,6

