Bahnhof,Bahnhofs-Nummer,Bahnhofs-Kategorie (2015)
Leipzig Coppiplatz,1070,6

Leipzig Industriegelände West,2990,6

Leipzig Marienbrunn,3952,6

Leipzig Miltitz,4112,6

Leipzig Ost,3633,6

Leipzig-Großzschocher,3638,4

Leipzig-Holzhausen,2885,7

Leipzig-Knauthain,3641,6

Leißling,3651,5

Leitstade,3652,7

Lenggries,3664,6

Letschin,3672,6

Lette (Kr Coesfeld),3673,6

Letter,3674,5

Leutersdorf,3685,7

Leutkirch,3689,6

Leverkusen Chempark,437,5

Lichtenhagen,3701,4

Lichtenrade,3703,5

Lichtenstein (Sachs),3704,7

Liebenau (Bz Kassel),3708,6

Lindau Hbf,3727,3

Lindow (Mark),3738,6

Littfeld,3750,6

Löbau (Sachs),3751,4

Lobenstein (Thür),3753,6

Loburg,3755,6

Lohmen,3765,6

Löhnberg,3766,6

Lorch (Württ),3781,5

Lorchhausen,3782,6

Lössau,3789,7

Loßburg-Rodt,3790,7

Löwenberg (Mark) Dorf,3797,6

Lübeck Dänischburg IKEA,8300,5

Lübeck Hbf,3807,2

Lübeck-Travemünde Skandinavienkai,3813,6

Lübeck-Travemünde Strand,3814,6

Lübz,3820,6

Lüdenscheid,3828,6

Lüdersdorf (Meckl),3830,7

Ludwigshafen (Rhein) Mitte,7385,3

Ludwigshafen (Rhein) Mitte,7385,3

Luisenthal (Saar),3850,6

Luisenthal (Thür),3851,6

Lutherstadt Wittenberg Altstadt,3864,6

Lutherstadt Wittenberg Elbtor,3864,6

Lutherstadt Wittenberg West,3865,6

Lützschena,3877,6

Magdeburg-Rothensee,3888,6

Magdeburg-Rothensee,3888,6

Magdeburg-Rothensee,3888,6

Mainleus,3896,6

Mainz-Gustavsburg,3903,4

Malchow (Meckl),3912,6

Malsch,3917,6

Mannheim Rbf,3926,2

Mannheim Rbf,3926,2

Mannheim-Friedrichsfeld Süd,3928,4

Mannheim-Handelshafen,3929,6

Mannheim-Käfertal,3930,6

Marbach West Villingen-Schwenningen,7147,7

Marbeck-Heiden,3942,6

Markelsheim,3958,6

Marktbreit,3973,6

Marktgölitz,3974,6

Maschen,3996,5

Massen,3997,6

Maubach,4001,5

Mechernich,4012,5

Mechterstädt,4013,6

Meckelfeld,4014,5

Meeder,4021,7

Meerane,4022,6

Meißen,4036,5

Meißen Altstadt,8277,5

Melsdorf,7267,7

Mengersgereuth-Hämmern Ost,4057,7

Merseburg Elisabethhöhe,4069,6

Mertendorf,4071,6

Messinghausen,4079,6

Meyenburg,4093,4

Michaelstein,4094,4

Michelstadt,4098,6

Mierendorf,4101,4

Milmersdorf,4108,6

Miltach,4109,7

Miltenberg,4110,7

Miltitz-Roitzschen,4113,6

Milzau,4116,7

Minsleben,4121,3

Mirow,4122,3

Mistorf,4124,6

Mittelndorf,4129,7

Mixdorf,4142,7

Möckern (b Magdeburg),4144,7

Mölln (Lauenburg),4159,5

Mosbach West,8052,5

Müden (Mosel),4194,6

Mühlental,4205,6

Mühltroff,4213,6

Muldenberg,4216,6

Müncheberg (Mark),4228,6

Münchehof (Harz),4229,6

München Karlsplatz,4237,3

München Leienfelsstraße,4238,5

München-Englschalking,4250,5

München-Fasanerie,4251,5

München-Lochhausen,4260,5

München-Mittersendling,4261,4

München-Moosach,4262,4

Münchsmünster,4273,6

Münchweiler (Alsens),7963,6

Münster-Amelsbüren,135,6

Münster-Häger,4546,6

Müssen,4289,6

Nabburg,4290,6

Nassau (Erzgeb),4301,7

Nassau (Lahn),4302,5

Nechlin,4314,7

Neinstedt,4333,7

Netzeband,4348,7

Neu Büddenstedt,4350,6

Neubrandenburg,4363,3

Neubrücke (Nahe),4364,4

Neuburxdorf,4368,6

Neuenburg (Baden),7156,6

Neuendettelsau,4378,7

Neulußheim,4414,5

Neumark (Sachs),4415,6

Neupetershain,4431,6

Neuss Hbf,4440,2

Neuss Hbf,4440,2

Neustadt (Orla),4449,6

Neustadt (Sachs),4450,6

Neuwerk,4463,6

Neuwied,4464,3

Nieder Ohmen,4475,6

Nieder Olm,4476,6

Niederfinow,4494,6

Niedergörsdorf,4496,6

Niedermittlau,4510,5

Niedermohr,4511,6

Niederschelden Nord Hp,4522,6

Niederstetten,4530,7

Niederstriegis,4532,6

Niederwartha,4537,6

Niederweimar,4538,6

Nienhagen (b Halberstadt),4549,6

Niklashausen,4556,6

Nistertal-Bad Marienberg,1620,6

Norddeich Mole,4570,4

Norden,4571,5

Nordendorf,4572,5

Norheim,4584,6

Norsingen,4585,6

Nossen,4589,6

Nossentin,4590,6

Nothberg,4591,6

Nürnberg-Neusündersbühl,4605,6

Nürnberg-Rothenburgerstraße,4596,5

Nürnberg-Sandreuth,4609,6

Oberaudorf,4621,5

Oberbettingen-Hillesheim,4623,6

Obergriesbach,4643,6

Oberkirch-Koehlersiedlung,4655,7

Oberklingensporn,4656,7

Obernau,4666,6

Obernburg-Elsenfeld,4668,6

Oberschlottwitz,4689,7

Oberweimar,4706,7

Oberwerrn,4709,6

Oderin,4726,6

Oertzenhof,4736,7

Oestrich-Winkel,4738,6

Oeventrop,4739,6

Offenburg-Kreisschulzentrum,8000,6

Ohrdruf,4753,5

Olbersleben,4761,5

Ölbronn-Dürrn,7764,7

Opladen,4770,4

Oppenau,4771,6

Osdorferstraße,7762,5

Osnabrück Altstadt,4786,4

Osterhofen (Oberbay),4794,7

Osterholz-Scharmbeck,4795,4

Ostseebad Graal-Müritz-Schwanenberg (Rostock Torfbrücke),4813,7

Ottensoos,4827,6

Otzing,4839,6

Ovelgünne,4840,6

Paditz,4849,6

Paindorf,4851,6

Pappenheim,4863,6

Passow (Meckl),4875,6

Paulinzella,4877,7

Pausa,4878,7

Peiting Ost,4891,6

Petersdorf (Meckl),4903,7

Petershagen Nord,4905,6

Petriroda,4909,6

Pforzheim Hbf,4922,2

Pforzheim-Brötzingen,4923,2

Pfraundorf (Inn),4924,7

Pichelsberg,7732,5

Pirna-Copitz,4944,6

Plauen (Vogtl) unt Bf,4956,6

Plauen (Vogtl) Zellwolle,4958,7

Plauen (Vogtl)-Chrieschwitz,4959,7

Plüderhausen,4969,4

Plüschow,4970,7

Pöllwitz,4985,6

Ponitz,4990,6

Pönitz (b Leipzig),4991,6

Porz-Gremberghoven,5000,4

Pösing,5005,6

Possenhofen,5006,4

Pößneck ob Bf,5007,6

Potsdamer Platz,5016,2

Praest,5017,6

Pretzfeld,5029,7

Pritzier,5043,6

Pulheim,5056,5

Putbus,5061,6

Quittelsdorf,5075,6

Radebeul Westbis 2013,5085,

Radebeul-Kötzschenbrodaseit 2013,5085,6

Raestrup-Everswinkel,5096,6

Raguhn,5098,6

Rahden,5099,6

Rammingen (Bay),5653,7

