Bahnhof,evaNummer,Bahnhofs­kategorie 2015
Bad Schussenried,8000746,5

Bad Schwartau,8000749,5

Bad Sebastiansweiler-Belsen,8000750,6

Bad Segeberg,8000751,6

Bad Sobernheim,8005583,5

Bad Soden (Taunus),8000752,5

Bad Soden-SalmÃ¼nster,8005261,5

Bad Sooden-Allendorf,8000753,6

Bad St Peter SÃ¼d,8000754,7

Bad Sulza,8011085,6

Bad Sulza Nord,8011086,7

Bad Teinach,8000757,7

Bad Teinach-Neubulach,8000757,7

Bad TÃ¶lz,8000758,6

Bad Vilbel,8000760,3

Bad Vilbel SÃ¼d,8000761,5

Bad Vilbel-Gronau,8002382,6

Bad Waldsee,8000763,6

Bad Wilsnack,8011088,6

Bad Wimpfen-Hohenstadt,8000766,6

Bad Windsheim,8000767,6

Bad WÃ¶rishofen,8000768,6

Bad Zwischenahn,8000770,5

Baddeckenstedt,8000772,6

Baden (Kr Verden),8000773,5

Baden-Baden,8000774,3

Baden-Baden Haueneberstein,8000771,6

Baden-Baden Rebland,8000775,6

Bagenz,8011097,6

Baiersdorf,8000783,5

Baitz,8011100,6

Balbersdorf,8000784,7

Baldham,8000785,5

Balduinstein,8000786,6

Balgheim,8000787,7

BalgstÃ¤dt,8011103,7

Balingen (WÃ¼rtt),8000353,4

Balingen SÃ¼d,8000788,6

BallstÃ¤dt (Kr Gotha),8011106,7

Baltersweiler,8000792,6

Balve,8000793,6

Bamberg,8000025,2

Bammental,8000794,6

Banteln,8000796,6

Bantorf,8000797,5

Barbelroth,8000802,7

Bardowick,8000801,6

BÃ¤renhecke-Johnsbach,8011091,7

BÃ¤renstein (b GlashÃ¼tte/Sachs),8011095,6

Bargteheide,8000804,4

Barleben,8011111,6

Barleber See,8011112,6

Barmbek (S-Bahn),8000805,4

Barnstorf (Han),8000807,5

Barnten,8000808,6

Barrien,8000810,6

Barsinghausen,8000812,5

BarthmÃ¼hle,8011115,6

Batzhausen,8000822,6

BÃ¤umenheim,8000778,6

Baumschulenweg,8089004,4

Baunach,8000826,7

Baunatal-Guntershausen,8000140,5

Baunatal-Rengershausen,8005039,6

Bautzen,8010026,4

Bavendorf,8000827,7

Bayerisch Eisenstein,8000830,6

Bayerisch Gmain,8000831,6

Bayerwerk,8000832,5

Bayreuth Hbf,8000028,3

Bebitz,8011119,7

Bebra,8000029,3

Beckingen (Saar),8000840,6

Bedburg (Erft),8000030,6

Bedburg-Hau,8000842,6

Beelen,8000846,6

Beelitz Stadt,8013468,6

Beelitz-HeilstÃ¤tten,8013467,6

Beerfelden-Hetzbach,8002815,6

Beeskow,8010029,6

Beetz-Sommerfeld,8011125,6

Behringersdorf,8000850,6

Beienheim,8000851,6

Beilrode,8011131,6

Beimerstetten,8000858,6

Beldorf,8000860,7

Belgershain,8011132,6

Belleben,8011133,7

Bellenberg,8000862,6

Bellevue,8089005,4

Bellheim Am MÃ¼hlbuckel,8000861,6

Belzig,8010031,5

Bempflingen,8000865,6

Benediktbeuern,8000869,6

Bengel,8000870,6

BennemÃ¼hlen,8000871,5

Bennewitz,8013362,6

Bennigsen,8000872,5

Benningen (Neckar),8000873,5

Bennungen,8011138,6

Bensheim,8000031,4

Bensheim-Auerbach,8000877,5

Bentwisch,8011140,6

Beratzhausen,8000882,5

Berchtesgaden Hbf,8000885,5

Berg (Pfalz),8000890,7

Berga (Elster),8011144,6

Berga-Kelbra,8010032,6

Bergen (Oberbay),8000888,5

Bergen auf RÃ¼gen,8010033,3

Berghausen (Pfalz),8000894,6

Bergheim (Erft),8000355,6

Bergisch Gladbach,8000899,6

Bergsdorf,8011149,7

Bergtheim,8000902,6

Bergwitz,8011150,6

Beringhausen,8000904,7

Beringstedt,8000905,7

BerkenbrÃ¼ck,8011154,6

Berlin Brandenburger Tor,8089044,4

Berlin Frankfurter Allee,8089013,4

Berlin Hauptbahnhof,8011160,1

